Symbol,Interval,Current_Rate(%),Daily_Rate(%),Method
MAGMA-USDT,4h,0.0816,0.48960000000000004,History_Search
MANTA-USDT,4h,-0.0164,-0.09840000000000002,History_Search
MASK-USDT,4h,0.005,0.03,History_Search
MAVIA-USDT,4h,0.005,0.03,History_Search
MBOX-USDT,4h,0.005,0.03,History_Search
ME-USDT,4h,9.999999999999999e-05,0.0006,History_Search
MELANIA-USDT,4h,0.005,0.03,History_Search
MEME-USDT,4h,0.0013,0.0078,History_Search
MEMES-USDT,4h,-0.0091,-0.0546,History_Search
MERL-USDT,4h,0.0038000000000000004,0.0228,History_Search
METEORA-USDT,4h,0.005,0.03,History_Search
METIS-USDT,4h,0.005,0.03,History_Search
MEW-USDT,4h,0.005,0.03,History_Search
MIRANETWORK-USDT,4h,0.005,0.03,History_Search
MITO-USDT,4h,0.005,0.03,History_Search
MLN-USDT,4h,0.005,0.03,History_Search
MMT-USDT,4h,0.005,0.03,History_Search
MOLT-USDT,4h,0.0088,0.0528,History_Search
MONAD-USDT,4h,-0.0024000000000000002,-0.014400000000000001,History_Search
MOODENG-USDT,4h,0.0009,0.0054,History_Search
MORI-USDT,4h,0.02,0.12,History_Search
MORPHO-USDT,4h,0.005,0.03,History_Search
MOVE-USDT,4h,-0.1248,-0.7487999999999999,History_Search
MOVR-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
MUBARAK-USDT,4h,0.005,0.03,History_Search
MYX-USDT,4h,0.0178,0.1068,History_Search
NAORIS-USDT,4h,0.005,0.03,History_Search
NCSKAAPL2USD-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
NCSKACN2USD-USDT,4h,0.005,0.03,History_Search
NCSKAMZN2USD-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
NCSKAPP2USD-USDT,4h,0.005,0.03,History_Search
NCSKARM2USD-USDT,4h,0.005,0.03,History_Search
NCSKASML2USD-USDT,4h,0.005,0.03,History_Search
NCSKCOIN2USD-USDT,4h,0.005,0.03,History_Search
NCSKCRCL2USD-USDT,4h,0.0957,0.5741999999999999,History_Search
NCSKCSCO2USD-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
NCSKGE2USD-USDT,4h,0.005,0.03,History_Search
NCSKGME2USD-USDT,4h,0.005,0.03,History_Search
NCSKGOOGL2USD-USDT,4h,0.1562,0.9372,History_Search
NCSKHOOD2USD-USDT,4h,0.0279,0.1674,History_Search
NCSKIBM2USD-USDT,4h,0.005,0.03,History_Search
NCSKINTC2USD-USDT,4h,0.0164,0.09840000000000002,History_Search
NCSKMCD2USD-USDT,4h,0.005,0.03,History_Search
NCSKMETA2USD-USDT,4h,0.0301,0.18059999999999998,History_Search
NCSKMRVL2USD-USDT,4h,0.005,0.03,History_Search
NCSKMSFT2USD-USDT,4h,0.021599999999999998,0.1296,History_Search
NCSKMSTR2USD-USDT,4h,0.005,0.03,History_Search
NCSKNVDA2USD-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
NCSKORCL2USD-USDT,4h,0.005,0.03,History_Search
NCSKPLTR2USD-USDT,4h,0.3149,1.8894000000000002,History_Search
NCSKRDDT2USD-USDT,4h,0.005,0.03,History_Search
NCSKTSLA2USD-USDT,4h,0.0621,0.37260000000000004,History_Search
NEIROCTO-USDT,4h,0.005,0.03,History_Search
NFP-USDT,4h,0.005,0.03,History_Search
NIGHT-USDT,4h,-0.0031000000000000003,-0.018600000000000002,History_Search
NIL-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
NMR-USDT,4h,-0.0021,-0.0126,History_Search
NOMINA-USDT,4h,-0.1166,-0.6996,History_Search
NOT-USDT,4h,0.005,0.03,History_Search
NTRN-USDT,4h,0.0392,0.2352,History_Search
NXPC-USDT,4h,0.005,0.03,History_Search
OG-USDT,4h,0.005,0.03,History_Search
OKB-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
OL-USDT,4h,0.005,0.03,History_Search
ON-USDT,4h,0.005,0.03,History_Search
ONDO-USDT,4h,0.005,0.03,History_Search
ONG-USDT,4h,0.005,0.03,History_Search
ONT-USDT,4h,-0.0034,-0.020399999999999998,History_Search
OOOO-USDT,4h,-0.02,-0.12,History_Search
OPENEDEN-USDT,4h,0.005,0.03,History_Search
OPENLEDGER-USDT,4h,0.005,0.03,History_Search
ORCA-USDT,4h,-0.0165,-0.099,History_Search
ORDI-USDT,4h,0.005,0.03,History_Search
ORE-USDT,4h,0.009399999999999999,0.05639999999999999,History_Search
PARTI-USDT,4h,0.005,0.03,History_Search
PAXG-USDT,4h,0.005,0.03,History_Search
PENGU-USDT,4h,-0.0117,-0.0702,History_Search
PENGUIN-USDT,4h,0.02,0.12,History_Search
PHA-USDT,4h,0.005,0.03,History_Search
PI-USDT,4h,0.005,0.03,History_Search
PIEVERSE-USDT,4h,0.0009,0.0054,History_Search
PIPE-USDT,4h,0.0102,0.061200000000000004,History_Search
PIPPIN-USDT,4h,0.015300000000000001,0.0918,History_Search
PIXEL-USDT,4h,0.005,0.03,History_Search
PLAYSOUT-USDT,4h,0.06130000000000001,0.3678,History_Search
PLUME-USDT,4h,0.005,0.03,History_Search
PNUT-USDT,4h,0.005,0.03,History_Search
POL-USDT,4h,-0.0292,-0.1752,History_Search
POLYX-USDT,4h,-0.0223,-0.1338,History_Search
POPCAT-USDT,4h,0.005,0.03,History_Search
PORTAL-USDT,4h,0.005,0.03,History_Search
POWER-USDT,4h,0.005,0.03,History_Search
POWR-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
PROM-USDT,4h,0.005,0.03,History_Search
PROMPT-USDT,4h,0.005,0.03,History_Search
PROVE-USDT,4h,0.005,0.03,History_Search
PSYOPANIME-USDT,4h,0.02,0.12,History_Search
PTB-USDT,4h,0.0261,0.15660000000000002,History_Search
PUFFER-USDT,4h,0.005,0.03,History_Search
PUMP-USDT,4h,0.005,0.03,History_Search
PUMPBTC-USDT,4h,0.0155,0.093,History_Search
PUNDIX-USDT,4h,0.005,0.03,History_Search
PYTH-USDT,4h,0.001,0.006,History_Search
Q-USDT,4h,0.005,0.03,History_Search
RARE-USDT,4h,0.005,0.03,History_Search
RATS-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
RAVE-USDT,4h,0.032600000000000004,0.19560000000000002,History_Search
RECALL-USDT,4h,0.005,0.03,History_Search
REDSTONE-USDT,4h,0.0009,0.0054,History_Search
RENDER-USDT,4h,0.005,0.03,History_Search
RESOLV-USDT,4h,-0.14220000000000002,-0.8532000000000002,History_Search
REZ-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
RLS-USDT,4h,0.005,0.03,History_Search
ROLL-USDT,4h,0.0089,0.0534,History_Search
RPL-USDT,4h,0.005,0.03,History_Search
RTX-USDT,4h,-0.02,-0.12,History_Search
RVN-USDT,4h,0.005,0.03,History_Search
RVV-USDT,4h,0.034699999999999995,0.20819999999999997,History_Search
S-USDT,4h,0.005,0.03,History_Search
SAFE-USDT,4h,0.005,0.03,History_Search
SAGA-USDT,4h,0.005,0.03,History_Search
SAHARA-USDT,4h,0.005,0.03,History_Search
SANTOS-USDT,4h,0.005,0.03,History_Search
SAPIEN-USDT,4h,0.005,0.03,History_Search
SCR-USDT,4h,0.005,0.03,History_Search
SCRT-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
SHELL-USDT,4h,0.005,0.03,History_Search
SIGHT-USDT,4h,-0.02,-0.12,History_Search
SIGN-USDT,4h,0.0009,0.0054,History_Search
SIREN-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
SKL-USDT,4h,0.005,0.03,History_Search
SKR-USDT,4h,0.005,0.03,History_Search
SKY-USDT,4h,0.005,0.03,History_Search
SKYAI-USDT,4h,0.0628,0.37679999999999997,History_Search
SLP-USDT,4h,0.005,0.03,History_Search
SOLTOMATO-USDT,4h,0.0084,0.0504,History_Search
SOLV-USDT,4h,0.005,0.03,History_Search
SOMI-USDT,4h,-0.0356,-0.2136,History_Search
SOON-USDT,4h,0.005,0.03,History_Search
SOPH-USDT,4h,-0.0887,-0.5322,History_Search
SPACECOIN-USDT,4h,0.005,0.03,History_Search
SPK-USDT,4h,0.005,0.03,History_Search
SPORTFUN-USDT,4h,0.005,0.03,History_Search
SPX-USDT,4h,0.005,0.03,History_Search
SQD-USDT,4h,0.005,0.03,History_Search
STABLE-USDT,4h,-0.0196,-0.1176,History_Search
STBL-USDT,4h,0.005,0.03,History_Search
STO-USDT,4h,0.005,0.03,History_Search
STORJ-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
STRK-USDT,4h,0.005,0.03,History_Search
SUN-USDT,4h,0.005,0.03,History_Search
SUPER-USDT,4h,0.005,0.03,History_Search
SXT-USDT,4h,0.005,0.03,History_Search
SYN-USDT,4h,-0.0092,-0.0552,History_Search
SYRUP-USDT,4h,0.005,0.03,History_Search
TA-USDT,4h,0.005,0.03,History_Search
TAC-USDT,4h,0.005,0.03,History_Search
TAG-USDT,4h,0.005,0.03,History_Search
TAIKO-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
TAKE-USDT,4h,0.005,0.03,History_Search
TAO-USDT,4h,0.005,0.03,History_Search
TEL-USDT,4h,-0.013999999999999999,-0.08399999999999999,History_Search
THE-USDT,4h,0.005,0.03,History_Search
THQ-USDT,4h,0.009899999999999999,0.059399999999999994,History_Search
TIA-USDT,4h,0.005,0.03,History_Search
TNSR-USDT,4h,0.005,0.03,History_Search
TONCOIN-USDT,4h,-0.0063,-0.0378,History_Search
TOSHI-USDT,4h,0.0009,0.0054,History_Search
TOWNS-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
TRADOOR-USDT,4h,0.0095,0.056999999999999995,History_Search
TRB-USDT,4h,0.005,0.03,History_Search
TREE-USDT,4h,0.0009,0.0054,History_Search
TRUMPSOL-USDT,4h,-0.0073,-0.0438,History_Search
TRUST-USDT,4h,0.005,0.03,History_Search
TRUTH-USDT,4h,0.005,0.03,History_Search
TST-USDT,4h,0.005,0.03,History_Search
TURBO-USDT,4h,-0.00039999999999999996,-0.0024,History_Search
TURTLE-USDT,4h,0.005,0.03,History_Search
TUT-USDT,4h,0.005,0.03,History_Search
TWT-USDT,4h,0.005,0.03,History_Search
UAI-USDT,4h,-0.1083,-0.6497999999999999,History_Search
UB-USDT,4h,0.005,0.03,History_Search
ULTIMA-USDT,4h,-0.0083,-0.0498,History_Search
UMA-USDT,4h,0.005,0.03,History_Search
US-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
USELESS-USDT,4h,0.005,0.03,History_Search
USUAL-USDT,4h,-0.0135,-0.081,History_Search
VANA-USDT,4h,0.005,0.03,History_Search
VANRY-USDT,4h,0.005,0.03,History_Search
VELODROME-USDT,4h,0.005,0.03,History_Search
VELVET-USDT,4h,0.005,0.03,History_Search
VIC-USDT,4h,0.005,0.03,History_Search
VINE-USDT,4h,0.005,0.03,History_Search
VIRTUAL-USDT,4h,0.005,0.03,History_Search
VVV-USDT,4h,0.005,0.03,History_Search
W-USDT,4h,0.005,0.03,History_Search
WAL-USDT,4h,-0.050100000000000006,-0.30060000000000003,History_Search
WCT-USDT,4h,-0.014899999999999998,-0.0894,History_Search
WET-USDT,4h,0.0009,0.0054,History_Search
WHITEWHALE-USDT,4h,-0.0777,-0.46620000000000006,History_Search
